model,batch_size,learning_rate,filters,precision_area,recall_area,f1_score_area,iou_score_area
Attention_Unet,4,0.01,4,0.5076233744621277,0.6432210803031921,0.5665745139122009,0.39728543162345886
Attention_Unet,8,0.01,4,0.5261847376823425,0.5926739573478699,0.5572907328605652,0.38791024684906006
Attention_Unet,16,0.01,4,0.4996996819972992,0.6246569752693176,0.5550745129585266,0.385577529668808
Attention_Unet,32,0.01,4,0.49256518483161926,0.6510151028633118,0.560016930103302,0.3902263939380646
Attention_Unet,4,0.0005,4,0.4759995937347412,0.6361871957778931,0.5442771911621094,0.3751544654369354
Attention_Unet,8,0.0005,4,0.4698784649372101,0.564963161945343,0.5122091770172119,0.3456449806690216
Attention_Unet,16,0.0005,4,0.34799596667289734,0.6181544661521912,0.4436372220516205,0.2860054671764374
Attention_Unet,32,0.0005,4,0.41051265597343445,0.6179046630859375,0.4926033914089203,0.3283950388431549
Attention_Unet,4,0.001,4,0.4790906012058258,0.6556255221366882,0.5526893138885498,0.3842422664165497
Attention_Unet,8,0.001,4,0.5095345973968506,0.6314911246299744,0.563498318195343,0.3940504789352417
Attention_Unet,16,0.001,4,0.499652236700058,0.5424585342407227,0.5197198987007141,0.352215439081192
Attention_Unet,32,0.001,4,0.4873347580432892,0.5339315533638,0.5087130665779114,0.3426036834716797
Attention_Unet,4,5e-05,4,0.4250994920730591,0.6270402073860168,0.5052054524421692,0.33949342370033264
Attention_Unet,8,5e-05,4,0.44566968083381653,0.5959637761116028,0.5091614127159119,0.3431354761123657
Attention_Unet,16,5e-05,4,0.3855684995651245,0.5822563171386719,0.4636540114879608,0.303376168012619
Attention_Unet,32,5e-05,4,0.38808801770210266,0.5712242126464844,0.459793359041214,0.30017879605293274
Attention_Unet,4,0.0001,4,0.4274669587612152,0.6543070077896118,0.516570508480072,0.34960976243019104
Attention_Unet,8,0.0001,4,0.4002942144870758,0.6126921772956848,0.4821731150150299,0.3188137114048004
Attention_Unet,16,0.0001,4,0.44378817081451416,0.5821207761764526,0.5030564665794373,0.33780136704444885
Attention_Unet,32,0.0001,4,0.3282007873058319,0.555325984954834,0.41165244579315186,0.26019302010536194
Attention_Unet,4,0.01,8,0.4910637140274048,0.6886594295501709,0.5731079578399658,0.40332186222076416
Attention_Unet,8,0.01,8,0.5246863961219788,0.643149733543396,0.5776751637458801,0.4079943001270294
Attention_Unet,16,0.01,8,0.5491670966148376,0.5831188559532166,0.5640407204627991,0.3945729434490204
Attention_Unet,32,0.01,8,0.523343026638031,0.6210783123970032,0.5674135088920593,0.39766570925712585
Attention_Unet,4,0.0005,8,0.5082128643989563,0.627080500125885,0.5612500905990601,0.3916113078594208
Attention_Unet,8,0.0005,8,0.46096888184547424,0.6714033484458923,0.5464765429496765,0.3779309093952179
Attention_Unet,16,0.0005,8,0.45630690455436707,0.6143621802330017,0.5234790444374084,0.3554494380950928
Attention_Unet,32,0.0005,8,0.4495460093021393,0.6197735071182251,0.5205971002578735,0.3531709611415863
Attention_Unet,4,0.001,8,0.48312437534332275,0.6957147717475891,0.5697442293167114,0.40016427636146545
Attention_Unet,8,0.001,8,0.5324065089225769,0.6014453768730164,0.5647112727165222,0.3950924575328827
Attention_Unet,16,0.001,8,0.5248053669929504,0.5578811764717102,0.5402289628982544,0.3712201416492462
Attention_Unet,32,0.001,8,0.44557902216911316,0.6380033493041992,0.5239465832710266,0.35691961646080017
Attention_Unet,4,5e-05,8,0.37638428807258606,0.6387702822685242,0.4732924997806549,0.3113591969013214
Attention_Unet,8,5e-05,8,0.43675634264945984,0.6230838298797607,0.512457013130188,0.3459685742855072
Attention_Unet,16,5e-05,8,0.4332437813282013,0.5535390973091125,0.48582375049591064,0.322378545999527
Attention_Unet,32,5e-05,8,0.434622198343277,0.5391824245452881,0.4810545742511749,0.31798121333122253
Attention_Unet,4,0.0001,8,0.4342997074127197,0.6575145125389099,0.522944986820221,0.35632285475730896
Attention_Unet,8,0.0001,8,0.4579515755176544,0.5718324780464172,0.5077663064002991,0.34160998463630676
Attention_Unet,16,0.0001,8,0.4599860608577728,0.5884929299354553,0.5157994627952576,0.3491574823856354
Attention_Unet,32,0.0001,8,0.4247164726257324,0.6090527176856995,0.4996376037597656,0.3346666991710663
Attention_Unet,4,0.01,16,0.5075585246086121,0.6578657031059265,0.5728937983512878,0.40358486771583557
Attention_Unet,8,0.01,16,0.5378363728523254,0.6316494345664978,0.5807390213012695,0.41072893142700195
Attention_Unet,16,0.01,16,0.5524218678474426,0.6341702342033386,0.5900560021400452,0.4201083183288574
Attention_Unet,32,0.01,16,0.5193929076194763,0.6526235938072205,0.5779528021812439,0.40777942538261414
Attention_Unet,4,0.0005,16,0.5552735924720764,0.5824904441833496,0.5676373839378357,0.39823445677757263
Attention_Unet,8,0.0005,16,0.477758526802063,0.6566485166549683,0.5525242686271667,0.38331255316734314
Attention_Unet,16,0.0005,16,0.47646620869636536,0.6129785180091858,0.5356038212776184,0.3677724301815033
Attention_Unet,32,0.0005,16,0.28638342022895813,0.06317009776830673,0.09536275267601013,0.050697486847639084
Attention_Unet,4,0.001,16,0.5572823286056519,0.6342031359672546,0.5929985642433167,0.4234575927257538
Attention_Unet,8,0.001,16,0.4635148048400879,0.7006397247314453,0.557611882686615,0.3881024122238159
Attention_Unet,16,0.001,16,0.48874855041503906,0.6596893668174744,0.5613313913345337,0.39191770553588867
Attention_Unet,32,0.001,16,0.508831262588501,0.6128962635993958,0.5557307600975037,0.3864295482635498
Attention_Unet,4,5e-05,16,0.48480919003486633,0.6159495711326599,0.5423734784126282,0.3738034963607788
Attention_Unet,8,5e-05,16,0.4562547206878662,0.5431389808654785,0.4950506389141083,0.33078768849372864
Attention_Unet,16,5e-05,16,0.46056750416755676,0.5949726700782776,0.5184786915779114,0.35186395049095154
Attention_Unet,32,5e-05,16,0.4715719223022461,0.5684649348258972,0.5151791572570801,0.3486967384815216
Attention_Unet,4,0.0001,16,0.4947330057621002,0.5599102973937988,0.5247983336448669,0.35729560256004333
Attention_Unet,8,0.0001,16,0.5003545880317688,0.5871017575263977,0.539900004863739,0.3711080253124237
Attention_Unet,16,0.0001,16,0.47841039299964905,0.6019497513771057,0.5328206419944763,0.3648100793361664
Attention_Unet,32,0.0001,16,0.48380395770072937,0.5160099267959595,0.4989910125732422,0.334158331155777
Attention_Unet,4,0.01,32,0.5564049482345581,0.6184084415435791,0.5855429768562317,0.41581451892852783
Attention_Unet,8,0.01,32,0.46536001563072205,0.7121229767799377,0.5625795125961304,0.39307188987731934
Attention_Unet,16,0.01,32,0.52862948179245,0.6630233526229858,0.5875534415245056,0.41734907031059265
Attention_Unet,32,0.01,32,0.5649169087409973,0.6155498027801514,0.5884442925453186,0.41833487153053284
Attention_Unet,4,0.0005,32,0.5494151711463928,0.6207916736602783,0.582726001739502,0.41290584206581116
Attention_Unet,8,0.0005,32,0.5391021966934204,0.6273273825645447,0.5793221592903137,0.4096786677837372
Attention_Unet,16,0.0005,32,0.5294326543807983,0.5989246964454651,0.5617371797561646,0.3922329843044281
Attention_Unet,32,0.0005,32,0.6960222125053406,0.0021984188351780176,0.004090485163033009,0.002070652786642313
Attention_Unet,4,0.001,32,0.5690812468528748,0.6107860207557678,0.5887286067008972,0.4193148910999298
Attention_Unet,8,0.001,32,0.5352882146835327,0.6687324047088623,0.5938652157783508,0.424455851316452
Attention_Unet,16,0.001,32,0.48311761021614075,0.706994354724884,0.5738259553909302,0.40366101264953613
Attention_Unet,32,0.001,32,0.8333341479301453,7.556025138910627e-06,1.5110836102394387e-05,7.556025138910627e-06
Attention_Unet,4,5e-05,32,0.45994237065315247,0.6359191536903381,0.5335468649864197,0.36576414108276367
Attention_Unet,8,5e-05,32,0.4988898038864136,0.5819209218025208,0.5370442271232605,0.368922621011734
Attention_Unet,16,5e-05,32,0.46584999561309814,0.5602090358734131,0.5083258748054504,0.34240636229515076
Attention_Unet,32,5e-05,32,0.4622371196746826,0.49623903632164,0.47745394706726074,0.31556960940361023
Attention_Unet,4,0.0001,32,0.5168630480766296,0.6012125015258789,0.5551032423973083,0.3859730064868927
Attention_Unet,8,0.0001,32,0.4796203076839447,0.6012997031211853,0.5330061912536621,0.36513224244117737
Attention_Unet,16,0.0001,32,0.5304930806159973,0.522628128528595,0.5263414978981018,0.3583458960056305
Attention_Unet,32,0.0001,32,0.26265355944633484,0.36552777886390686,0.30163565278053284,0.17781929671764374
